Ano,Subprefeitura,Subprefeitura_Padronizada,Distrito_Admin,Distrito_Admin_Padronizados,Sexo,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,50a59,60a64,60a69,70a74,75e,total,Origem,Arquivo
2019,Campo Limpo,CAMPO_LIMPO,Campo Limpo,Campo_Limpo,feminino,6760,7575,7969,8222,9827,10099,10073,10382,10386,8972,7768,6500,5529,4215,3058,3991,121326,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Penha,PENHA,Cangaíba,Cangaiba,feminino,3936,4363,4224,4549,5633,6036,6027,5875,5640,5288,5086,4691,3986,3167,2472,3844,74817,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Campo Limpo,CAMPO_LIMPO,Capão Redondo,Capao_Redondo,feminino,8508,9342,9501,10260,12186,12418,12138,11968,11698,10103,8988,7466,6248,4811,3435,4035,143105,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Carrão,Carrao,feminino,1756,2034,2164,2321,2733,3027,3187,3426,3592,3334,3291,3314,2944,2524,2179,4167,45993,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Casa Verde,Casa_Verde,feminino,2142,2419,2310,2390,2888,3203,3404,3564,3477,3081,2901,2871,2671,2242,1836,3412,44811,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Cidade Ademar,CIDADE_ADEMAR,Cidade Ademar,Cidade_Ademar,feminino,7786,8646,8647,8874,10684,11425,11306,11074,11021,9622,8541,7300,6388,4931,3750,5257,135252,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Capela do Socorro,CAPELA_DO_SOCORRO,Cidade Dutra,Cidade_Dutra,feminino,5269,5875,6017,6543,7788,8178,7954,7871,7897,7041,6572,5781,5083,3950,3052,3872,98743,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Itaquera,ITAQUERA,Cidade Líder,Cidade_Lider,feminino,3730,4143,4334,4713,5533,6074,5807,5786,5692,5079,4601,4037,3528,2762,2097,2540,70456,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Cidade Tiradentes,CIDADE_TIRADENTES,Cidade Tiradentes,Cidade_Tiradentes,feminino,6392,6922,7846,8536,10071,9986,8568,8278,8013,6869,6082,5366,4539,3354,2164,2208,105194,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Sé,SE,Consolação,Consolacao,feminino,916,929,841,854,1088,2093,3212,2949,2442,1970,1931,2076,2038,1864,1617,3583,30403,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Ipiranga,IPIRANGA,Cursino,Cursino,feminino,2437,2843,2842,2819,3224,3819,4119,4573,4620,4075,3913,3916,3707,3055,2395,4733,57090,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ermelino Matarazzo,Ermelino_Matarazzo,feminino,3211,3609,3785,3900,4648,5025,4966,4812,4703,4196,3910,3408,2937,2277,1599,2310,59296,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Freguesia do Ó,Freguesia_do_O,feminino,3549,3975,3834,4126,5057,5533,5711,5998,5868,5308,5166,4985,4613,3624,2809,4873,75029,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
2019,Capela do Socorro,CAPELA_DO_SOCORRO,Grajaú,Grajau,feminino,12481,13635,13896,15116,18286,18323,16294,15900,15420,13825,12490,9983,7914,5653,3912,4074,197202,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_feminino_2019.csv
