year,zone,subprefecture_name_original,subprefecture_name,district_name_original,district_name,population
2015,West,Pinheiros,PINHEIROS,Itaim Bibi,Itaim_Bibi,96570
2015,West,Lapa,LAPA,Jaguara,Jaguara,25009
2015,West,Lapa,LAPA,Jaguaré,Jaguare,52344
2015,West,Pinheiros,PINHEIROS,Jardim Paulista,Jardim_Paulista,86423
2015,West,Lapa,LAPA,Lapa,Lapa,70511
2015,West,Butantã,BUTANTA,Morumbi,Morumbi,45993
2015,West,Lapa,LAPA,Perdizes,Perdizes,108575
2015,West,Pinheiros,PINHEIROS,Pinheiros,Pinheiros,65572
2015,West,Butantã,BUTANTA,Raposo Tavares,Raposo_Tavares,108066
2015,West,Butantã,BUTANTA,Rio Pequeno,Rio_Pequeno,125141
2015,West,Lapa,LAPA,Vila Leopoldina,Vila_Leopoldina,42951
2015,West,Butantã,BUTANTA,Vila Sônia,Vila_Sonia,115696
2015,South_1,Ipiranga,IPIRANGA,Cursino,Cursino,107731
2015,South_1,Ipiranga,IPIRANGA,Ipiranga,Ipiranga,111726
2015,South_1,Jabaquara,JABAQUARA,Jabaquara,Jabaquara,222028
2015,South_1,Vila Mariana,VILA_MARIANA,Moema,Moema,83486
2015,South_1,Ipiranga,IPIRANGA,Sacomã,Sacoma,254931
2015,South_1,Vila Mariana,VILA_MARIANA,Saúde,Saude,131118
2015,South_1,Vila Mariana,VILA_MARIANA,Vila Mariana,Vila_Mariana,130165
2015,South_2,Santo Amaro,SANTO_AMARO,Campo Belo,Campo_Belo,68827
2015,South_2,Santo Amaro,SANTO_AMARO,Campo Grande,Campo_Grande,108161
2015,South_2,Campo Limpo,CAMPO_LIMPO,Campo Limpo,Campo_Limpo,222403
2015,South_2,Campo Limpo,CAMPO_LIMPO,Capão Redondo,Capao_Redondo,271619
2015,South_2,Cidade Ademar,CIDADE_ADEMAR,Cidade Ademar,Cidade_Ademar,261250
2015,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Cidade Dutra,Cidade_Dutra,192329
2015,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Grajaú,Grajau,372265
2015,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim Ângela,Jardim_Angela,303409
2015,South_2,M'Boi Mirim,M_BOI_MIRIM,Jardim São Luís,Jardim_Sao_Luis,265778
2015,South_2,Parelheiros,PARELHEIROS,Marsilac,Marsilac,9610
2015,South_2,Parelheiros,PARELHEIROS,Parelheiros,Parelheiros,140528
2015,South_2,Cidade Ademar,CIDADE_ADEMAR,Pedreira,Pedreira,153032
2015,South_2,Santo Amaro,SANTO_AMARO,Santo Amaro,Santo_Amaro,77984
2015,South_2,Capela do Socorro,CAPELA_DO_SOCORRO,Socorro,Socorro,38397
2015,South_2,Campo Limpo,CAMPO_LIMPO,Vila Andrade,Vila_Andrade,144229
2016,Downtown,Sé,SE,Bela Vista,Bela_Vista,65138
2016,Downtown,Sé,SE,Bom Retiro,Bom_Retiro,33819
2016,Downtown,Sé,SE,Cambuci,Cambuci,41180
2016,Downtown,Sé,SE,Consolação,Consolacao,55955
2016,Downtown,Sé,SE,Liberdade,Liberdade,68247
2016,Downtown,Sé,SE,República,Republica,59310
2016,Downtown,Sé,SE,Santa Cecília,Santa_Cecilia,82848
2016,Downtown,Sé,SE,Sé,Se,24069
2016,East_1,Mooca,MOOCA,Água Rasa,Agua_Rasa,86645
2016,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Aricanduva,Aricanduva,90678
2016,East_1,Penha,PENHA,Artur Alvim,Artur_Alvim,101713
2016,East_1,Mooca,MOOCA,Belém,Belem,50457
2016,East_1,Mooca,MOOCA,Brás,Bras,33941
2016,East_1,Penha,PENHA,Cangaíba,Cangaiba,140062
2016,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Carrão,Carrao,85022
2016,East_1,Mooca,MOOCA,Moóca,Mooca,79385
2016,East_1,Mooca,MOOCA,Pari,Pari,17370
2016,East_1,Penha,PENHA,Penha,Penha,131574
2016,East_1,Vila Prudente,VILA_PRUDENTE,São Lucas,Sao_Lucas,141898
2016,East_1,Sapopemba,SAPOPEMBA,Sapopemba,Sapopemba,278790
2016,East_1,Mooca,MOOCA,Tatuapé,Tatuape,96179
