cd_identif,cd_identi0,cd_distrit,nm_distrit,sg_distrit,tx_escala,sg_fonte_o,dt_criacao,dt_atualiz,cd_usuario,cd_tipo_di,qt_area_qu,qt_area_me,cd_regiao_,nm_regiao_,cd_regiao0,nm_regiao0,district_name,region_name1,region_name2,subprefecture_name,longitude_district,latitude_district,geometry,longitude_district_centroid,latitude_district_centroid,cd_subpref,qt_area_qu_subprefecture,qt_area_me_subprefecture,geometry_subprefecture,longitude_subpref,latitude_subpref,longitude_subpref_centroid,latitude_subpref_centroid
8583414.0,29.0,71,SANTO AMARO,SAM,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,16.036,16036225.98,5,Sul,8,Sul 2,Santo_Amaro,South,South_2,SANTO_AMARO,-46.69960780729493,-23.64268593762418,POINT (-46.70119587253071 -23.642373189654858),-46.70119587253071,-23.642373189654858,14,38.0,37745316.9,POINT (-46.68877088733897 -23.650096114220954),-46.70120161348045,-23.653829121954427,-46.68877088733897,-23.650096114220954
8583434.0,20.0,90,VILA MARIANA,VMN,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,8.598,8597789.8,5,Sul,7,Sul 1,Vila_Mariana,South,South_1,VILA_MARIANA,-46.63282256949311,-23.583919753283272,POINT (-46.635799271070795 -23.586503264673663),-46.635799271070795,-23.586503264673663,12,27.0,26984413.29,POINT (-46.6462223558506 -23.599433231366177),-46.64878336225142,-23.599882074761005,-46.6462223558506,-23.599433231366177
8583460.0,16.0,20,CARRAO,CAR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,7.903,7902721.77,2,Leste,2,Leste 1,Carrao,East,East_1,ARICANDUVA_FORMOSA_CARRAO,-46.53606724220008,-23.55277210145664,POINT (-46.538294472496176 -23.55107940466987),-46.538294472496176,-23.55107940466987,26,22.0,22335715.74,POINT (-46.533802528042635 -23.56377755819314),-46.53687968556006,-23.562355533041682,-46.533802528042635,-23.56377755819314
8583446.0,13.0,6,BARRA FUNDA,BFU,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,5.854,5853568.75,4,Oeste,6,Oeste,Barra_Funda,West,West,LAPA,-46.673230332787156,-23.52264748917227,POINT (-46.674087143732464 -23.52119555042677),-46.674087143732464,-23.52119555042677,08,41.0,40638699.56,POINT (-46.71395456549933 -23.52821555660065),-46.709175497330186,-23.527320110426555,-46.71395456549933,-23.52821555660065
8583427.0,23.0,83,VILA ANDRADE,VAN,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,10.307,10306862.59,5,Sul,8,Sul 2,Vila_Andrade,South,South_2,CAMPO_LIMPO,-46.72883319618474,-23.627454577439696,POINT (-46.72827897997798 -23.626230479341668),-46.72827897997798,-23.626230479341668,17,37.0,36673870.39,POINT (-46.75998879971502 -23.645515733142357),-46.77333414415425,-23.652950095742717,-46.75998879971502,-23.645515733142357
8583412.0,14.0,69,SANTA CECILIA,SCE,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,3.76,3759528.16,1,Centro,1,Centro,Santa_Cecilia,Downtown,Downtown,SE,-46.651850224740585,-23.529888904995428,POINT (-46.652876654676675 -23.53179509423972),-46.652876654676675,-23.53179509423972,09,27.0,26665465.09,POINT (-46.639877861796236 -23.548358874509194),-46.649032899745805,-23.547783199875568,-46.639877861796236,-23.548358874509194
8583435.0,7.0,91,VILA MATILDE,VMT,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,8.769,8769104.22,2,Leste,2,Leste 1,Vila_Matilde,East,East_1,PENHA,-46.51733089861667,-23.54097035374371,POINT (-46.51787573904859 -23.53936095622355),-46.51787573904859,-23.53936095622355,21,40.0,40429242.04,POINT (-46.51617546751888 -23.521184088681732),-46.537291579233894,-23.51567623398102,-46.51617546751888,-23.521184088681732
8583404.0,31.0,61,PERUS,PRS,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,23.644,23644355.41,3,Norte,4,Norte 2,Perus,North,Norte 2,PERUS_ANHANGUERA,-46.743779641728345,-23.408496998448044,POINT (-46.746143456140004 -23.407923679094207),-46.746143456140004,-23.407923679094207,01,57.0,56889310.75,POINT (-46.77359982239678 -23.421114043384943),-46.784840145514515,-23.4279108276664,-46.77359982239678,-23.421114043384943
8583445.0,7.0,5,ARTUR ALVIM,AAL,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,6.506,6505750.23,2,Leste,2,Leste 1,Artur_Alvim,East,East_1,PENHA,-46.4849330663066,-23.53939077044627,POINT (-46.48581768795429 -23.540143593017515),-46.48581768795429,-23.540143593017515,21,40.0,40429242.04,POINT (-46.51617546751888 -23.521184088681732),-46.537291579233894,-23.51567623398102,-46.51617546751888,-23.521184088681732
8583423.0,25.0,79,SOCORRO,SOC,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,11.965,11965477.82,5,Sul,8,Sul 2,Socorro,South,South_2,CAPELA_DO_SOCORRO,-46.7121419673468,-23.68302688871893,POINT (-46.7137171121787 -23.68527940832591),-46.7137171121787,-23.68527940832591,19,133.0,132844027.47,POINT (-46.6798118856059 -23.766662007563),-46.686913362187795,-23.754716018884587,-46.6798118856059,-23.766662007563
8583399.0,15.0,56,PARI,PRI,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,2.73,2729940.52,2,Leste,2,Leste 1,Pari,East,East_1,MOOCA,-46.615912904922695,-23.527240533825367,POINT (-46.617511493006845 -23.52718619011818),-46.617511493006845,-23.52718619011818,25,36.0,36046910.58,POINT (-46.58813988740095 -23.548744806248493),-46.58976837361642,-23.550486639946364,-46.58813988740095,-23.548744806248493
8583395.0,27.0,52,MARSILAC,MAR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,208.165,208164976.65,5,Sul,8,Sul 2,Marsilac,South,South_2,PARELHEIROS,-46.70699374989857,-23.93797860879449,POINT (-46.70798983387021 -23.93526368988384),-46.70798983387021,-23.93526368988384,20,361.0,360654213.19,POINT (-46.71150647247876 -23.890804121428037),-46.69639065142816,-23.873694695676555,-46.71150647247876,-23.890804121428037
8583422.0,14.0,78,SE,SEE,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,2.194,2193786.9,1,Centro,1,Centro,Se,Downtown,Downtown,SE,-46.63177334893519,-23.546394751515514,POINT (-46.6314477771639 -23.547712845828283),-46.6314477771639,-23.547712845828283,09,27.0,26665465.09,POINT (-46.639877861796236 -23.548358874509194),-46.649032899745805,-23.547783199875568,-46.639877861796236,-23.548358874509194
8583436.0,6.0,92,VILA MEDEIROS,VMD,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,7.856,7855942.18,3,Norte,5,Norte 1,Vila_Medeiros,North,North_1,VILA_MARIA_VILA_GUILHERME,-46.577498970347754,-23.48808174899203,POINT (-46.5776196352513 -23.488737293760426),-46.5776196352513,-23.488737293760426,07,27.0,26899223.48,POINT (-46.58522728862155 -23.50490715188926),-46.58819470049616,-23.501041772945488,-46.58522728862155,-23.50490715188926
8583426.0,4.0,82,TUCURUVI,TUC,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.441,9441317.18,3,Norte,5,Norte 1,Tucuruvi,North,North_1,SANTANA_TUCURUVI,-46.60231669657796,-23.47753091184215,POINT (-46.60604364909468 -23.475702006061525),-46.60604364909468,-23.475702006061525,05,36.0,35782518.58,POINT (-46.62783412197503 -23.47858463397127),-46.61764509907789,-23.473488777431104,-46.62783412197503,-23.47858463397127
